@relation 'HR_comma_sep-weka.filters.unsupervised.attribute.Reorder-R1,2,4,5,6,7,8,9,10,3-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,10,9-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,9,10,8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,8,9,10,6-weka.filters.unsupervised.attribute.NumericToNominal-R5,6,10'

@attribute satisfaction_level numeric
@attribute last_evaluation numeric
@attribute average_montly_hours numeric
@attribute time_spend_company numeric
@attribute Work_accident {0,1}
@attribute promotion_last_5years {0,1}
@attribute number_project numeric
@attribute salary {low,medium,high}
@attribute sales {sales,accounting,hr,technical,support,management,IT,product_mng,marketing,RandD}
@attribute left {0,1}

@data
0.67,0.36,97,4,0,0,4,medium,sales,0
0.79,0.36,114,3,0,0,3,high,technical,0
0.4,0.36,128,4,0,0,4,medium,technical,0
0.71,0.36,132,5,0,0,2,medium,support,0
0.44,0.36,136,3,0,0,2,high,technical,0
0.62,0.36,137,4,1,0,2,medium,marketing,0
0.15,0.36,159,2,0,0,5,low,accounting,0
0.19,0.36,167,5,0,0,3,low,sales,0
0.19,0.36,167,5,0,0,3,low,sales,0
0.39,0.36,168,3,1,0,3,low,sales,0
0.17,0.36,191,2,0,0,6,medium,product_mng,0
0.17,0.36,191,2,0,0,6,medium,product_mng,0
0.49,0.36,192,3,0,0,2,low,sales,0
0.49,0.36,192,3,0,0,2,low,sales,0
0.83,0.36,242,3,0,0,4,low,sales,0
0.73,0.36,253,2,1,0,4,low,RandD,0
0.66,0.36,256,6,0,0,3,medium,support,0
0.84,0.36,256,5,0,0,6,low,sales,0
0.69,0.36,269,6,1,0,5,medium,marketing,0
0.71,0.36,278,4,1,0,4,high,product_mng,0
0.67,0.36,280,4,0,0,3,low,support,0
0.65,0.36,282,3,0,0,2,medium,product_mng,0
0.83,0.37,101,4,1,0,5,low,support,0
0.31,0.37,104,3,1,0,2,medium,support,0
0.57,0.37,108,4,0,0,3,low,technical,0
0.96,0.37,111,2,0,0,3,high,sales,0
0.52,0.37,118,2,0,0,2,high,product_mng,0
0.52,0.37,118,2,0,0,2,high,product_mng,0
0.4,0.37,123,2,0,0,3,medium,sales,0
0.59,0.37,125,2,0,0,3,medium,RandD,0
0.39,0.37,127,3,0,0,3,low,sales,0
0.76,0.37,127,4,0,0,3,medium,sales,0
0.65,0.37,128,3,1,0,5,medium,product_mng,0
0.21,0.37,129,4,0,0,4,medium,product_mng,0
0.52,0.37,137,4,0,0,3,low,sales,0
0.35,0.37,153,2,0,0,4,medium,sales,0
0.99,0.37,155,3,0,0,5,low,sales,0
0.39,0.37,156,4,0,0,5,medium,sales,0
0.39,0.37,156,4,0,0,5,medium,sales,0
0.96,0.37,159,6,0,0,2,low,RandD,0
0.28,0.37,164,4,1,0,3,low,accounting,0
0.28,0.37,164,4,1,0,3,low,accounting,0
0.61,0.37,165,6,0,0,4,medium,marketing,0
0.15,0.37,167,3,0,0,2,low,sales,0
0.32,0.37,167,3,0,0,3,medium,accounting,0
0.37,0.37,168,3,0,0,3,low,hr,0
0.4,0.37,169,3,1,0,3,medium,support,0
0.65,0.37,170,6,0,0,3,low,IT,0
0.65,0.37,170,6,0,0,3,low,IT,0
0.74,0.37,171,4,0,0,2,low,support,0
0.37,0.37,173,2,0,0,5,low,accounting,0
0.54,0.37,176,2,0,0,2,low,sales,0
0.71,0.37,179,5,0,1,2,low,support,0
0.71,0.37,179,5,0,1,2,low,support,0
0.53,0.37,180,3,0,0,3,medium,support,0
0.53,0.37,180,3,0,0,3,medium,support,0
0.48,0.37,181,2,0,0,3,low,IT,0
0.84,0.37,186,2,0,0,5,medium,technical,0
0.29,0.37,187,10,1,0,6,high,sales,0
0.29,0.37,187,10,1,0,6,high,sales,0
0.74,0.37,200,3,0,0,6,low,product_mng,0
0.49,0.37,216,4,0,0,4,low,technical,0
0.44,0.37,219,2,0,0,2,low,technical,0
0.44,0.37,219,2,0,0,2,low,technical,0
0.99,0.37,219,6,0,0,6,low,product_mng,0
0.45,0.37,226,2,0,0,6,low,technical,0
0.26,0.37,232,3,1,0,2,low,hr,0
0.95,0.37,233,5,0,0,6,medium,RandD,0
0.49,0.37,246,3,0,0,5,medium,support,0
0.49,0.37,246,3,0,0,5,medium,support,0
0.23,0.37,247,4,0,0,3,medium,hr,0
0.75,0.37,256,3,0,0,3,medium,product_mng,0
0.21,0.37,266,3,0,1,6,medium,hr,0
0.3,0.37,278,3,0,0,6,low,technical,0
0.82,0.37,280,3,0,0,2,medium,accounting,0
0.42,0.37,284,3,0,0,2,high,technical,0
0.95,0.37,285,3,0,0,4,low,management,0
0.95,0.38,103,3,0,0,2,low,sales,0
0.52,0.38,103,3,0,0,2,medium,support,0
0.52,0.38,103,3,0,0,2,medium,support,0
0.29,0.38,105,5,0,0,6,low,sales,0
0.39,0.38,106,3,1,0,2,medium,support,0
0.24,0.38,109,2,0,0,6,medium,support,0
0.42,0.38,115,3,0,0,2,medium,hr,0
0.14,0.38,115,6,1,0,5,high,marketing,0
0.14,0.38,115,6,1,0,5,high,marketing,0
0.43,0.38,119,2,0,0,3,low,sales,0
0.43,0.38,119,2,0,0,3,low,sales,0
